function_id,module,rva,original_symbol,working_name,system,state,confidence,calls,called_by,evidence_ids,scenario_ids,source_path,notes
FN-UDSPACK-00001000,UDSPACK,00001000,??0UpHashTable@@QAE@PAUUpHashEntry@@HH@Z,UpHashTable::UpHashTable,archive,understood,2,,,EV-20260721-006,,src/airfix/archive/UdspArchive.cpp,Wraps an existing 24-byte record array
FN-UDSPACK-00001160,UDSPACK,00001160,?Add@UpHashTable@@QAE_NPAUUpHashEntry@@@Z,UpHashTable::Add,archive,understood,3,,,EV-20260721-007;EV-20260721-008,,src/airfix/archive/UdspArchive.cpp,Computes legacy name hash and inserts in sorted order
FN-UDSPACK-000012D0,UDSPACK,000012D0,?Lookup@UpHashTable@@QAEPAUUpHashEntry@@PBD@Z,UpHashTable::Lookup,archive,implemented,3,,,EV-20260721-007;EV-20260721-008;EV-20260721-026,,src/airfix/archive/UdspArchive.cpp,Binary search by hash then full legacy case-insensitive compare with explicit ambiguity
FN-UDSPACK-000014B0,UDSPACK,000014B0,??0UpPackage@@QAE@PBDPAV0@@Z,UpPackage::UpPackage,archive,specified,3,,,EV-20260721-006;EV-20260721-007,,src/airfix/archive/UdspArchive.cpp,Validates header and relocates three metadata tables
FN-UDSPACK-000017E0,UDSPACK,000017E0,?Open@UpPackage@@QAEPAUUpHashEntry@@PBDPAI1@Z,UpPackage::Open,archive,specified,3,FN-UDSPACK-000012D0,,EV-20260721-007,,src/airfix/archive/UdspArchive.cpp,Resolves directory and filename and returns stored data span
FN-UDSPACK-00002280,UDSPACK,00002280,??0UpFile@@QAE@PBDPAVUpPackage@@W4__UPFILE_OPENMODE@@@Z,UpFile::UpFile,archive,implemented,3,FN-UDSPACK-000017E0,,EV-20260721-007;EV-20260721-009,,src/airfix/archive/UdspArchive.cpp,Opens raw or packaged file and decodes flag-bit-0 compression
FN-UDSPACK-00002530,UDSPACK,00002530,?Read@UpFile@@QAEIPAXII@Z,UpFile::Read,archive,specified,2,,,EV-20260721-006,,src/airfix/archive/UdspArchive.cpp,Reads disk package or decompressed-memory backing
FN-AFENGINE-00027100,AFENGINE,00027100,?AddTypes@NfDatabase@@QAE_NPAD@Z,NfDatabase::AddTypes,plugin_loading,understood,3,,,EV-20260721-013,SCN-PLUGIN-001,,Discovers type plugins and enforces ABI version 0x6D
FN-AFENGINE-00027370,AFENGINE,00027370,?AddMissions@NfDatabase@@QAE_NPAD@Z,NfDatabase::AddMissions,plugin_loading,understood,3,,,EV-20260721-013,SCN-PLUGIN-001,,Reads mode metadata and unloads discovery handle
FN-AFENGINE-0002A4A0,AFENGINE,0002A4A0,??1NfMissionInfo@@MAE@XZ,NfMissionInfo::~NfMissionInfo,plugin_loading,understood,3,,,EV-20260721-013,SCN-PLUGIN-001,,Releases retained mode handle and owned strings
FN-AFENGINE-0002A510,AFENGINE,0002A510,?CreateMission@NfMissionInfo@@IAEPAVNfMission@@PAVNfMain@@@Z,NfMissionInfo::CreateMission,plugin_loading,understood,3,,,EV-20260721-013,SCN-PLUGIN-001,,Loads mode and calls missionCreate factory
FN-AFENGINE-0003AF20,AFENGINE,0003AF20,,ProbeGraphicsDriver,render_startup,understood,2,,,EV-20260721-013,SCN-STARTUP-001,,Checks dllVer 0x3B and reads dllName without resolving dependencies
FN-AFENGINE-0003B690,AFENGINE,0003B690,,CreateGraphicsDevice,render_startup,understood,2,,,EV-20260721-013,SCN-STARTUP-001,,Loads adapter and calls dllCreate
FN-AFENGINE-00043A50,AFENGINE,00043A50,??0NfMain@@QAE@XZ,NfMain::NfMain,startup,understood,2,FN-AFENGINE-000454B0,,EV-20260721-014,SCN-STARTUP-001,,Initializes services and performs initial package pass
FN-AFENGINE-000448F0,AFENGINE,000448F0,?Open@NfMain@@QAE_NPAUHWND__@@@Z,NfMain::Open,startup,understood,2,FN-AFENGINE-00027100;FN-AFENGINE-00027370,,EV-20260721-014,SCN-STARTUP-001,,Creates device audio database engine server then plugins
FN-AFENGINE-000454B0,AFENGINE,000454B0,?LoadPackages@NfMain@@QAEXPBD@Z,NfMain::LoadPackages,package_loading,understood,3,,,EV-20260721-014,SCN-PACKAGE-001,,Builds ordered package chain from packlist or wildcard fallback
FN-DOGFIGHTER-00016090,DOGFIGHTER,00016090,,WindowsApplicationMain,startup,understood,2,,,EV-20260721-014,SCN-STARTUP-001,,Creates window and drives two ordered per-frame virtual calls
FN-CC-00001740,CC,00001740,?OpenChunk@CcChunkReadStream@@QAEGXZ,CcChunkReadStream::OpenChunk,asset_io,implemented,3,,,EV-20260721-018,,,Reads u16 ID and inclusive u32 length and pushes parent boundary
FN-CC-00001820,CC,00001820,?CloseChunk@CcChunkReadStream@@QAEXXZ,CcChunkReadStream::CloseChunk,asset_io,implemented,3,,,EV-20260721-018,,,Seeks to chunk start plus inclusive total length
FN-CC-00027270,CC,00027270,?LoadScene@CcRoom@@QAEPAVCcLoadedScene@@PADPAVGtTextureGroup@@HP6AXH0@Z@Z,CcRoom::LoadScene,scene_loading,understood,3,,,EV-20260721-018,,,Dispatches scene extension to CCF or L3D loader
FN-CC-00027340,CC,00027340,?LoadSceneCcf@CcRoom@@QAEPAVCcLoadedScene@@PADPAVGtTextureGroup@@HP6AXH0@Z@Z,CcRoom::LoadSceneCcf,scene_loading,implemented,3,FN-CC-00001740;FN-CC-00001820;FN-CC-0000E0F0;FN-CC-0002A020;FN-CC-0002A230,,EV-20260721-018;EV-20260721-023;EV-20260721-025;EV-20260721-033;EV-20260721-037;EV-20260721-038;EV-20260721-039,,src/airfix/assets/LegacyFormats.cpp;src/airfix/assets/CcfPlacedScene.cpp;src/airfix/assets/CcfRoomScene.cpp,Loads and resolves bounded CcFf rooms fog BSP materials meshes blueprint graphs placed nodes and spatial polygon bindings
FN-CC-000401B0,CC,000401B0,?IsValid@GtImage@@QAE_NPAD@Z,GtImage::IsValid,image_loading,implemented,3,,,EV-20260721-018,,,Requires GtIm magic and version 4
FN-CC-00040240,CC,00040240,?LoadAs@GtImage@@QAE_NPADW4GT_FMT@@_N2@Z,GtImage::LoadAs,image_loading,in_progress,3,,,EV-20260721-018,,,Selects Imag format reads palette and computed mip bytes with fallback conversion
FN-CC-00040C40,CC,00040C40,?GetPixelSize@GtImage@@QAEHXZ,GtImage::GetPixelSize,image_loading,implemented,3,,,EV-20260721-018,,,Maps GT_FMT to bits per pixel
FN-CC-00040CC0,CC,00040CC0,?GetImageSize@GtImage@@QAEHH@Z,GtImage::GetImageSize,image_loading,implemented,3,FN-CC-00040C40,,EV-20260721-018,,,Computes quarter-area mip byte counts
FN-AFENGINE-00038C30,AFENGINE,00038C30,,AfChunkContainer::GetChunkByID,asset_io,understood,3,,,EV-20260721-022,,,Returns ordered matching chunks and permits duplicate IDs
FN-AFENGINE-00038C80,AFENGINE,00038C80,,AfChunkContainer::CountChunksByID,asset_io,understood,3,,,EV-20260721-022,,,Counts repeated FourCC child chunks
FN-AFENGINE-00038CD0,AFENGINE,00038CD0,,AfChunkContainer::Read,asset_io,implemented,3,,,EV-20260721-022,,src/airfix/assets/AfChunkContainer.cpp,Checks root size then consumes exact 8-byte-header children
